job_id,job_title,company,location,salary,source,url,date_posted
-269965081923241935,AI Performance Engineer,Bright Vision Technologies,India,$100k - $150k,Jooble,https://jooble.org/jdp/-269965081923241935,2026-07-16
5617087048416102094,AI Infrastructure Engineer,Bright Vision Technologies,India,$100k - $150k,Jooble,https://jooble.org/jdp/5617087048416102094,2026-07-15
1838934024043606694,Senior AI Engineer,Mastercard,India,-1,Jooble,https://jooble.org/jdp/1838934024043606694,2026-05-30
-3269121165905400974,Edge AI Engineer,Bright Vision Technologies,India,$100k - $155k,Jooble,https://jooble.org/jdp/-3269121165905400974,2026-07-16
5084074948423744007,AI Engineer - ElevenLabs,Smartworking,India,-1,Jooble,https://jooble.org/jdp/5084074948423744007,2026-07-07
7980771154377894571,AI Governance Engineer,Bright Vision Technologies,India,$100k - $150k,Jooble,https://jooble.org/jdp/7980771154377894571,2026-07-15
-987781275756848414,MCP AI Architect - IIT,Gruve,India,-1,Jooble,https://jooble.org/jdp/-987781275756848414,2026-07-08
8812641288193972251,Senior Machine Learning Engineer,Mastercard,India,-1,Jooble,https://jooble.org/jdp/8812641288193972251,2026-06-30
-6605673500211188646,AI Research Engineer,Bright Vision Technologies,India,$100k - $150k,Jooble,https://jooble.org/jdp/-6605673500211188646,2026-07-16
115296477766124538,Sr. Technical Product Manager,Joist AI,India,-1,Jooble,https://jooble.org/jdp/115296477766124538,2026-07-07
-1105804651511038017,Research Scientist - AI,Bright Vision Technologies,India,$100k - $150k,Jooble,https://jooble.org/jdp/-1105804651511038017,2026-07-17
18888634,Grab & Go Food Associate,Walmart,"Springdale, AR",-1,TheMuse,https://www.themuse.com/jobs/walmart/grab-go-food-associate-61400a,2025-08-13
20078984,"Senior, Software Engineer (Backend)",Walmart,"Cupertino, CA",-1,TheMuse,https://www.themuse.com/jobs/walmart/senior-software-engineer-backend-5ff764,2025-08-30
